Student	Test	Class	Scale	MResponse
23	Pre	C-1	C	2.66666666666667
24	Pre	C-3	C	3
25	Pre	C-1	C	4.16666666666667
26	Pre	C-2	C	3.33333333333333
27	Pre	C-1	C	3.16666666666667
28	Pre	C-1	C	3.33333333333333
29	Pre	C-1	C	3.66666666666667
30	Pre	C-3	C	3.33333333333333
31	Pre	C-2	C	2.16666666666667
32	Pre	C-1	C	2.66666666666667
33	Pre	C-2	C	2.83333333333333
35	Pre	C-2	C	4.16666666666667
36	Pre	C-1	C	3.66666666666667
37	Pre	C-1	C	3
38	Pre	C-2	C	3.83333333333333
39	Pre	C-2	C	3.16666666666667
40	Pre	C-3	C	1.33333333333333
41	Pre	C-2	C	3
42	Pre	C-2	C	3.5
43	Pre	C-3	C	2.83333333333333
44	Pre	C-2	C	3.83333333333333
45	Pre	C-2	C	3.33333333333333
46	Pre	C-3	C	3
47	Pre	C-2	C	2.66666666666667
48	Pre	C-3	C	2.83333333333333
49	Pre	C-1	C	2.83333333333333
50	Pre	C-2	C	4.16666666666667
51	Pre	C-2	C	3.16666666666667
1	Post	C-2	C	3
2	Post	C-3	C	3
3	Post	C-1	C	3.16666666666667
5	Post	C-2	C	3.5
6	Post	C-3	C	2.83333333333333
8	Post	C-2	C	1.66666666666667
9	Post	C-3	C	3
10	Post	C-3	C	3.5
12	Post	C-3	C	2.83333333333333
13	Post	C-3	C	3.66666666666667
14	Post	C-1	C	3.66666666666667
15	Post	C-3	C	2.66666666666667
16	Post	C-3	C	2.83333333333333
17	Post	C-1	C	3.66666666666667
18	Post	C-1	C	4
19	Post	C-1	C	2.66666666666667
20	Post	C-1	C	4
21	Post	C-3	C	4.16666666666667
22	Post	C-2	C	3.66666666666667
23	Post	C-1	C	3.33333333333333
24	Post	C-3	C	3
25	Post	C-1	C	4.16666666666667
26	Post	C-2	C	3.33333333333333
27	Post	C-1	C	3.5
28	Post	C-1	C	3.16666666666667
29	Post	C-1	C	3.83333333333333
30	Post	C-3	C	3.5
31	Post	C-2	C	2.33333333333333
32	Post	C-1	C	2.83333333333333
33	Post	C-2	C	3.16666666666667
35	Post	C-2	C	3
36	Post	C-1	C	1.83333333333333
37	Post	C-1	C	3
38	Post	C-2	C	4.16666666666667
39	Post	C-2	C	2.83333333333333
40	Post	C-3	C	3.66666666666667
41	Post	C-2	C	3.5
42	Post	C-2	C	2.83333333333333
